id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
989038362486288531,Home in Columbus · 2 bedrooms · 2 beds · 1 bath,432234139,Sara,,Northland,40.06116706831443,-82.9846891132735,Entire home/apt,89,30,0,,,14,364,0,
989149014309443257,Home in Columbus · ★4.88 · 2 bedrooms · 2 beds · 2.5 baths,117626724,Jared,,Near East,39.97268043733145,-82.97893046615327,Entire home/apt,189,1,17,2023-12-22,6.30,4,24,17,2023-1221
989159722247777184,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,474700132,Darius,,Near North/University,40.01816085937373,-83.00991336917782,Entire home/apt,83,1,2,2023-12-17,0.76,9,8,2,2022-1019
989585859169988193,Home in Columbus · 3 bedrooms · 2 beds · 1 bath,538901549,Bernard,,Near South,39.948879745398095,-82.95404536602544,Entire home/apt,149,3,0,,,1,269,0,2023-3883
990603466708884600,Condo in Columbus · ★4.85 · 3 bedrooms · 5 beds · 3 baths,117626724,Jared,,Near South,39.94707859547474,-82.98020322703266,Entire home/apt,146,1,13,2023-12-20,4.94,4,266,13,2023-1541
990711431005073516,Home in Columbus · ★4.67 · 1 bedroom · 1 bed · 1 bath,400647989,Babatunde,,Northland,40.0704943,-82.9883308,Entire home/apt,84,1,6,2023-12-04,2.77,1,323,6,2023-4517
990939988862533777,Rental unit in Columbus · ★4.67 · 2 bedrooms · 3 beds · 1 bath,367095138,Benson,,Franklinton,39.9532607,-83.0206248,Entire home/apt,61,1,6,2023-12-03,2.12,7,251,6,2023-4478
991156887075039360,Rental unit in Columbus · 2 bedrooms · 2 beds · 1.5 baths,432234139,Sara,,Near South,39.951176771945796,-82.9602742998141,Entire home/apt,69,30,0,,,14,236,0,
991169241905575591,Rental unit in Columbus · 2 bedrooms · 2 beds · 1.5 baths,432234139,Sara,,Near South,39.94996516721795,-82.9613412141055,Entire home/apt,69,30,0,,,14,265,0,
991247827999192144,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,474700132,Darius,,Near North/University,40.01736124119112,-83.0118979345275,Entire home/apt,82,2,1,2023-10-22,0.46,9,8,1,2022-1019
991250000064123889,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,474700132,Darius,,Near North/University,40.015611009243855,-83.00982985267915,Entire home/apt,73,1,2,2023-12-15,0.76,9,84,2,2022-1025
991477682459562693,Home in Columbus · 5 bedrooms · 6 beds · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.01713575758534,-83.00999988616375,Entire home/apt,769,2,0,,,8,69,0,2023-4194
991478083081232181,Home in Columbus · 4 bedrooms · 11 beds · 3.5 baths,237652455,Songzhe Sunny,,Near North/University,40.01636112464971,-83.00932210409628,Entire home/apt,989,2,0,,,8,92,0,2023-4195
991599263755394106,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,263502162,Landing,,Downtown,39.96313121172376,-83.0018211812783,Entire home/apt,120,30,0,,,33,365,0,
991653630886762737,Rental unit in Canal Winchester · 2 bedrooms · 2 beds · 2 baths,263502162,Landing,,Southeast,39.88065727795409,-82.822333893912,Entire home/apt,82,30,0,,,33,365,0,
991654525449740285,Rental unit in Columbus · 2 bedrooms · 2 beds · 2 baths,263502162,Landing,,Far North,40.13560278465723,-83.00010054012463,Entire home/apt,96,30,0,,,33,365,0,
991710541943235907,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,263502162,Landing,,Downtown,39.96346619031743,-83.00197883226507,Entire home/apt,78,30,0,,,33,365,0,
991713602405149060,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,263502162,Landing,,Downtown,39.96415617586069,-83.00015376311993,Entire home/apt,77,30,0,,,33,365,0,
991770713183030120,Rental unit in Columbus · 1 bedroom · 1 bed · 1 bath,263502162,Landing,,Downtown,39.964157835395554,-83.00177410861531,Entire home/apt,99,30,0,,,33,365,0,
991943809661036394,Rental unit in Columbus · ★4.0 · 1 bedroom · 2 beds · 1 bath,474700132,Darius,,Near North/University,39.995892378427875,-83.00732679056583,Entire home/apt,71,1,5,2023-12-10,2.94,9,27,5,2022-2155
992124105500309108,Rental unit in Columbus · 2 bedrooms · 3 beds · 1 bath,519861666,Christie,,North Linden,40.013777206365326,-82.96522810106983,Entire home/apt,94,2,0,,,5,261,0,2021-1062
992317218861461700,Home in Columbus · ★4.86 · 3 bedrooms · 4 beds · 3 baths,469254007,Matthew,,Northwest,40.05990636537106,-83.06989158332338,Entire home/apt,237,2,14,2023-12-22,5.25,1,236,14,2023-4706
992680611430174204,Home in Columbus · ★5.0 · 3 bedrooms · 6 beds · 1.5 baths,162683938,Fabio,,South Linden,40.00543292341397,-82.93716955355741,Entire home/apt,145,2,5,2023-12-03,2.08,5,8,5,2023-4357
993221707757696262,Hotel in Columbus · ★4.67 · 1 bedroom · 2 beds · 1 bath,501999514,RoomPicks,,Downtown,39.96774685288819,-82.99958395915365,Private room,399,1,3,2023-11-12,1.96,22,333,3,2019-1234
993225924633790282,Hotel in Columbus · 2 bedrooms · 4 beds · 2 baths,501999514,RoomPicks,,Downtown,39.9684526103528,-82.99948449359948,Private room,399,1,0,,,22,333,0,2019-1234
993229892368136350,Hotel in Columbus · 3 bedrooms · 6 beds · 3 baths,501999514,RoomPicks,,Downtown,39.96922,-83.0014,Private room,399,1,0,,,22,332,0,2019-1234
993514466774233861,Home in Columbus · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.01641541817186,-83.01109996220197,Private room,49,2,2,2023-11-21,1.03,8,62,2,2023-4194
993514473640274903,Home in Columbus · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.015658197968854,-83.0100219252986,Private room,49,2,0,,,8,61,0,2023-4194
